,From,To,edge
924,Ron Wyden,Kamala D. Harris,1
925,Ron Wyden,Chris Van Hollen,1
930,Ron Wyden,Catherine Cortez Masto,1
932,Ron Wyden,Tina Smith,1
937,Jeff Merkley,Benjamin L. Cardin,1
939,Jeff Merkley,Al Franken,1
943,Jeff Merkley,Timothy Kaine,1
944,Jeff Merkley,Ron Wyden,1
950,Jeff Merkley,Tom Udall,1
954,Jeff Merkley,Brian Schatz,1
956,Jeff Merkley,Richard Blumenthal,1
957,Jeff Merkley,Maria Cantwell,1
958,Jeff Merkley,Tammy Baldwin,1
959,Jeff Merkley,Christopher Murphy,1
963,Jeff Merkley,Bob Casey,1
968,Jeff Merkley,Dianne Feinstein,1
969,Jeff Merkley,Martin Heinrich,1
970,Jeff Merkley,Edward J. Markey,1
972,Jeff Merkley,Kirsten E. Gillibrand,1
975,Jeff Merkley,Michael F. Bennet,1
976,Jeff Merkley,Patty Murray,1
979,Jeff Merkley,Margaret Wood Hassan,1
980,Jeff Merkley,Tammy Duckworth,1
982,Jeff Merkley,Mazie K. Hirono,1
986,Jeff Merkley,Sherrod Brown,1
988,Jeff Merkley,Gary C. Peters,1
989,Jeff Merkley,Bernard Sanders,1
992,Jeff Merkley,Thomas R. Carper,1
993,Jeff Merkley,Christopher A. Coons,1
995,Jeff Merkley,Jeanne Shaheen,1
1002,Jeff Merkley,Elizabeth A. Warren,1
1003,Jeff Merkley,Cory A. Booker,1
1005,Jeff Merkley,Robert Menendez,1
1008,Jeff Merkley,Richard J. Durbin,1
1009,Jeff Merkley,Patrick Joseph Leahy,1
1012,Jeff Merkley,Sheldon Whitehouse,1
1018,Jeff Merkley,Deborah Ann Stabenow,1
1024,Jeff Merkley,Charles E. Schumer,1
1025,Jeff Merkley,John F. Reed,1
1028,Jeff Merkley,Kamala D. Harris,1
1029,Jeff Merkley,Chris Van Hollen,1
1034,Jeff Merkley,Catherine Cortez Masto,1
1036,Jeff Merkley,Tina Smith,1
1078,Cory Gardner,Marco Rubio,1
1079,Cory Gardner,Michael F. Bennet,1
1121,Cory Gardner,John Barrasso,1
1151,Angus King,Timothy Kaine,1
1159,Angus King,Shelley Moore Capito,1
1164,Angus King,Richard Blumenthal,1
1165,Angus King,Maria Cantwell,1
1166,Angus King,Tammy Baldwin,1
1172,Angus King,Susan Margaret Collins,1
1177,Angus King,Martin Heinrich,1
1183,Angus King,Michael F. Bennet,1
1187,Angus King,Margaret Wood Hassan,1
1190,Angus King,Mazie K. Hirono,1
1194,Angus King,Sherrod Brown,1
1196,Angus King,Gary C. Peters,1
1198,Angus King,Joe Manchin,1
1201,Angus King,Christopher A. Coons,1
1202,Angus King,Jon Tester,1
1203,Angus King,Jeanne Shaheen,1
1204,Angus King,Heidi Heitkamp,1
1215,Angus King,Mark R. Warner,1
1219,Angus King,Joe Donnelly,1
1224,Angus King,Amy Klobuchar,1
1226,Angus King,Deborah Ann Stabenow,1
1237,Angus King,Chris Van Hollen,1
1269,Lisa Murkowski,Maria Cantwell,1
1311,Lisa Murkowski,Dan Sullivan,1
1369,John Cornyn,Orrin Grant Hatch,1
1383,John Cornyn,Pat Roberts,1
1390,John Cornyn,Marco Rubio,1
1400,John Cornyn,John Neely Kennedy,1
1401,John Cornyn,Ted Cruz,1
1413,John Cornyn,Luther Strange,1
1417,John Cornyn,James Lankford,1
1430,John Cornyn,Tom Cotton,1
