From,To,edge
Tammy Duckworth,Elizabeth A. Warren,1
Tammy Duckworth,Sheldon Whitehouse,1
Tammy Duckworth,Tammy Baldwin,1
Tammy Duckworth,Angus King,1
Tammy Duckworth,Deborah Ann Stabenow,1
Tammy Duckworth,Richard J. Durbin,1
Tammy Duckworth,Cory A. Booker,1
Tammy Duckworth,Bernard Sanders,1
Tammy Duckworth,Edward J. Markey,1
Tammy Duckworth,Robert Menendez,1
Tammy Duckworth,Bob Casey,1
Tammy Duckworth,Sherrod Brown,1
Tammy Duckworth,Tom Udall,1
Tammy Duckworth,Charles E. Schumer,1
Tammy Duckworth,Catherine Cortez Masto,1
Tammy Duckworth,Richard Blumenthal,1
Tammy Duckworth,Jeanne Shaheen,1
Tammy Duckworth,Christopher A. Coons,1
Tammy Duckworth,Kamala D. Harris,1
Tammy Duckworth,Chris Van Hollen,1
Tammy Duckworth,Christopher Murphy,1
Tammy Duckworth,Mark R. Warner,1
Tammy Duckworth,Benjamin L. Cardin,1
Tammy Duckworth,Timothy Kaine,1
Tammy Duckworth,Brian Schatz,1
Tammy Duckworth,Patty Murray,1
Tammy Duckworth,Ron Wyden,1
Tammy Duckworth,Margaret Wood Hassan,1
Tammy Duckworth,Tina Smith,1
Tammy Duckworth,Mazie K. Hirono,1
Tammy Duckworth,Martin Heinrich,1
Tammy Duckworth,Michael F. Bennet,1
Tammy Duckworth,Kirsten E. Gillibrand,1
Tammy Duckworth,Amy Klobuchar,1
Tammy Duckworth,Patrick Joseph Leahy,1
Tammy Duckworth,Dianne Feinstein,1
Tammy Duckworth,John F. Reed,1
Tammy Duckworth,Maria Cantwell,1
Tammy Duckworth,Thomas R. Carper,1
Tammy Duckworth,Jacklyn Rosen,1
Richard Burr,Deb Fischer,1
Richard Burr,Cindy Hyde-Smith,1
Richard Burr,Roy Blunt,1
Richard Burr,Roger F. Wicker,1
Richard Burr,David Alfred Perdue,1
Richard Burr,Pat Roberts,1
Richard Burr,Tim Scott,1
Richard Burr,Steve Daines,1
Richard Burr,Thomas Roland Tillis,1
Richard Burr,Shelley Moore Capito,1
Richard Burr,Richard Craig Shelby,1
Richard Burr,John Boozman,1
Richard Burr,Jim Inhofe,1
Richard Burr,Lamar Alexander,1
Richard Burr,James E. Risch,1
Richard Burr,Johnny Isakson,1
Richard J. Durbin,Jeff Merkley,1
Richard J. Durbin,Gary C. Peters,1
Richard J. Durbin,Elizabeth A. Warren,1
Richard J. Durbin,Sheldon Whitehouse,1
Richard J. Durbin,Tammy Baldwin,1
Richard J. Durbin,Deborah Ann Stabenow,1
Richard J. Durbin,Tammy Duckworth,1
Richard J. Durbin,Cory A. Booker,1
Richard J. Durbin,Bernard Sanders,1
Richard J. Durbin,Edward J. Markey,1
Richard J. Durbin,Robert Menendez,1
Richard J. Durbin,Bob Casey,1
Richard J. Durbin,Sherrod Brown,1
Richard J. Durbin,Tom Udall,1
Richard J. Durbin,Charles E. Schumer,1
Richard J. Durbin,Catherine Cortez Masto,1
Richard J. Durbin,Richard Blumenthal,1
Richard J. Durbin,Jeanne Shaheen,1
Richard J. Durbin,Christopher A. Coons,1
Richard J. Durbin,Kamala D. Harris,1
Richard J. Durbin,Chris Van Hollen,1
Richard J. Durbin,Christopher Murphy,1
Richard J. Durbin,Mark R. Warner,1
Richard J. Durbin,Benjamin L. Cardin,1
Richard J. Durbin,Timothy Kaine,1
Richard J. Durbin,Brian Schatz,1
Richard J. Durbin,Patty Murray,1
Richard J. Durbin,Ron Wyden,1
Richard J. Durbin,Tina Smith,1
Richard J. Durbin,Mazie K. Hirono,1
Richard J. Durbin,Martin Heinrich,1
Richard J. Durbin,Michael F. Bennet,1
Richard J. Durbin,Kirsten E. Gillibrand,1
Richard J. Durbin,Amy Klobuchar,1
Richard J. Durbin,Patrick Joseph Leahy,1
Richard J. Durbin,Dianne Feinstein,1
Richard J. Durbin,John F. Reed,1
Richard J. Durbin,Maria Cantwell,1
Richard J. Durbin,Thomas R. Carper,1
Richard J. Durbin,Jacklyn Rosen,1
Cory A. Booker,Jeff Merkley,1
Cory A. Booker,Elizabeth A. Warren,1
Cory A. Booker,Sheldon Whitehouse,1
Cory A. Booker,Tammy Baldwin,1
Cory A. Booker,Deborah Ann Stabenow,1
Cory A. Booker,Tammy Duckworth,1
Cory A. Booker,Richard J. Durbin,1
Cory A. Booker,Bernard Sanders,1
Cory A. Booker,Edward J. Markey,1
Cory A. Booker,Robert Menendez,1
Cory A. Booker,Bob Casey,1
Cory A. Booker,Sherrod Brown,1
Cory A. Booker,Tom Udall,1
Cory A. Booker,Charles E. Schumer,1
Cory A. Booker,Catherine Cortez Masto,1
Cory A. Booker,Richard Blumenthal,1
Cory A. Booker,Jeanne Shaheen,1
Cory A. Booker,Christopher A. Coons,1
Cory A. Booker,Kamala D. Harris,1
Cory A. Booker,Chris Van Hollen,1
Cory A. Booker,Christopher Murphy,1
Cory A. Booker,Benjamin L. Cardin,1
Cory A. Booker,Timothy Kaine,1
Cory A. Booker,Brian Schatz,1
Cory A. Booker,Patty Murray,1
Cory A. Booker,Ron Wyden,1
Cory A. Booker,Tina Smith,1
Cory A. Booker,Mazie K. Hirono,1
Cory A. Booker,Martin Heinrich,1
Cory A. Booker,Michael F. Bennet,1
Cory A. Booker,Kirsten E. Gillibrand,1
Cory A. Booker,Amy Klobuchar,1
Cory A. Booker,Patrick Joseph Leahy,1
Cory A. Booker,Dianne Feinstein,1
Cory A. Booker,John F. Reed,1
Cory A. Booker,Maria Cantwell,1
Cory A. Booker,Thomas R. Carper,1
Cory A. Booker,Jacklyn Rosen,1
Doug Jones,Gary C. Peters,1
Doug Jones,Angus King,1
Doug Jones,Joe Manchin,1
Doug Jones,Deborah Ann Stabenow,1
Doug Jones,Bob Casey,1
Doug Jones,Sherrod Brown,1
Doug Jones,Jon Tester,1
Doug Jones,Christopher A. Coons,1
Doug Jones,Cindy Hyde-Smith,1
Doug Jones,Chris Van Hollen,1
Doug Jones,Mark R. Warner,1
Doug Jones,Timothy Kaine,1
Doug Jones,Susan Margaret Collins,1
Doug Jones,Margaret Wood Hassan,1
Doug Jones,Tina Smith,1
Doug Jones,John Boozman,1
Doug Jones,Amy Klobuchar,1
Doug Jones,Thomas R. Carper,1
Doug Jones,Kyrsten Sinema,1
Doug Jones,Jacklyn Rosen,1
Bernard Sanders,Jeff Merkley,1
Bernard Sanders,Gary C. Peters,1
Bernard Sanders,Elizabeth A. Warren,1
Bernard Sanders,Sheldon Whitehouse,1
Bernard Sanders,Tammy Baldwin,1
Bernard Sanders,Deborah Ann Stabenow,1
Bernard Sanders,Tammy Duckworth,1
Bernard Sanders,Richard J. Durbin,1
Bernard Sanders,Cory A. Booker,1
Bernard Sanders,Edward J. Markey,1
Bernard Sanders,Robert Menendez,1
Bernard Sanders,Bob Casey,1
Bernard Sanders,Sherrod Brown,1
Bernard Sanders,Tom Udall,1
Bernard Sanders,Charles E. Schumer,1
Bernard Sanders,Catherine Cortez Masto,1
Bernard Sanders,Richard Blumenthal,1
Bernard Sanders,Jeanne Shaheen,1
Bernard Sanders,Christopher A. Coons,1
Bernard Sanders,Kamala D. Harris,1
Bernard Sanders,Chris Van Hollen,1
Bernard Sanders,Christopher Murphy,1
Bernard Sanders,Mark R. Warner,1
