,From,To,edge
1018,Peter J. Roskam,Andy Barr,1
1019,Peter J. Roskam,Bradley Byrne,1
1022,Peter J. Roskam,Vern Buchanan,1
1024,Peter J. Roskam,Steven M. Palazzo,1
1025,Peter J. Roskam,Sean P. Duffy,1
1031,Peter J. Roskam,John Kline,1
1034,Peter J. Roskam,Adam Kinzinger,1
1035,Peter J. Roskam,John Abney Culberson,1
1037,Peter J. Roskam,Tom Marino,1
1039,Peter J. Roskam,Diane Black,1
1040,Peter J. Roskam,Vicky Hartzler,1
1041,Peter J. Roskam,Trent Franks,1
1049,Peter J. Roskam,Adrian Smith,1
1050,Peter J. Roskam,Michael G. Fitzpatrick,1
1052,Peter J. Roskam,Jackie Walorski,1
1053,Peter J. Roskam,Edward Whitfield,1
1054,Peter J. Roskam,Tom Emmer,1
1056,Peter J. Roskam,David Schweikert,1
1057,Peter J. Roskam,Steve Stivers,1
1062,Peter J. Roskam,Chris Collins,1
1065,Peter J. Roskam,Mike Pompeo,1
1066,Peter J. Roskam,Todd Rokita,1
1069,Peter J. Roskam,Brad R. Wenstrup,1
1082,Peter J. Roskam,Ryan A. Costello,1
1091,Peter J. Roskam,F. James Sensenbrenner,1
1094,Peter J. Roskam,Sam Graves,1
1097,Peter J. Roskam,John J. Duncan,1
1098,Peter J. Roskam,John Fleming,1
1103,Peter J. Roskam,Scott R. Tipton,1
1104,Peter J. Roskam,Ann Wagner,1
1111,Peter J. Roskam,Brett Guthrie,1
1116,Peter J. Roskam,Gus M. Bilirakis,1
1119,Peter J. Roskam,Tom Rice,1
1122,Peter J. Roskam,Michael R. Turner,1
1124,Peter J. Roskam,Trey Gowdy,1
1126,Peter J. Roskam,Kenny Marchant,1
1128,Peter J. Roskam,Marlin A. Stutzman,1
1129,Peter J. Roskam,Jason Smith,1
1130,Peter J. Roskam,Randy Hultgren,1
1131,Peter J. Roskam,Kevin Cramer,1
1136,Peter J. Roskam,Austin Scott,1
1138,Peter J. Roskam,Robert Pittenger,1
1140,Peter J. Roskam,Blake Farenthold,1
1142,Peter J. Roskam,David Rouzer,1
1145,Peter J. Roskam,Mark E. Amodei,1
1147,Peter J. Roskam,Charles W. Dent,1
1150,Peter J. Roskam,Blaine Luetkemeyer,1
1151,Peter J. Roskam,Patrick Mchenry,1
1152,Peter J. Roskam,Gregg Harper,1
1158,Peter J. Roskam,David G. Reichert,1
1162,Peter J. Roskam,George Holding,1
1164,Peter J. Roskam,Robert E. Latta,1
1167,Peter J. Roskam,Cathy Mcmorris Rodgers,1
1169,Peter J. Roskam,Kristi L. Noem,1
1172,Peter J. Roskam,Randy K. Weber,1
1173,Peter J. Roskam,Lynn A. Westmoreland,1
1175,Peter J. Roskam,Todd C. Young,1
1178,Peter J. Roskam,Greg Walden,1
1187,Peter J. Roskam,Carlos Curbelo,1
1188,Peter J. Roskam,David W. Jolly,1
1192,Peter J. Roskam,Joseph J. Heck,1
1197,Peter J. Roskam,Mike Bost,1
1200,Peter J. Roskam,Scott Desjarlais,1
1204,Peter J. Roskam,Devin Nunes,1
1209,Peter J. Roskam,Robert J. Dold,1
1214,Peter J. Roskam,Tim Walberg,1
1218,Peter J. Roskam,Mark Sanford,1
1227,Peter J. Roskam,Bill Huizenga,1
1231,Peter J. Roskam,Alexander X. Mooney,1
1233,Peter J. Roskam,Dan Newhouse,1
1236,Peter J. Roskam,Stephen Lee Fincher,1
1237,Peter J. Roskam,Keith J. Rothfus,1
1238,Peter J. Roskam,Jim Jordan,1
1244,Peter J. Roskam,Rod Blum,1
1245,Peter J. Roskam,Larry Bucshon,1
1248,Peter J. Roskam,Mario Diaz-Balart,1
1250,Peter J. Roskam,Markwayne Mullin,1
1252,Peter J. Roskam,Kevin Yoder,1
1258,Peter J. Roskam,Richard Hudson,1
1260,Peter J. Roskam,John L. Mica,1
1264,Peter J. Roskam,Robert B. Aderholt,1
1278,Peter J. Roskam,John M. Shimkus,1
1284,Peter J. Roskam,Andy Harris,1
1286,Peter J. Roskam,David P. Joyce,1
1288,Peter J. Roskam,Tom Graves,1
1295,Peter J. Roskam,Susan W. Brooks,1
1298,Peter J. Roskam,J. French Hill,1
1299,Peter J. Roskam,David Young,1
1301,Peter J. Roskam,Billy Long,1
1302,Peter J. Roskam,"Charles J. ""Chuck"" Fleischmann",1
1303,Peter J. Roskam,Rick W. Allen,1
1304,Peter J. Roskam,Bill Johnson,1
1308,Peter J. Roskam,Ander Crenshaw,1
1311,Peter J. Roskam,Rodney Frelinghuysen,1
1314,Peter J. Roskam,John R. Moolenaar,1
1315,Peter J. Roskam,David A. Trott,1
1317,Peter J. Roskam,Bob Gibbs,1
1326,Peter J. Roskam,Jeb Hensarling,1
1328,Peter J. Roskam,Aaron Schock,1
1329,Ted S. Yoho,Pete Sessions,1
1337,Ted S. Yoho,Tom Cole,1
